CustomerID,churn_probability
3831-YCPUO,0.9476086447238719
0266-GMEAO,0.9475499707227566
3892-NXAZG,0.9475499707227566
6917-FIJHC,0.9474079071938899
6725-TPKJO,0.947372283995644
0825-CPPQH,0.9472482161574891
5605-XNWEN,0.947232632977272
4163-NCJAK,0.9471983595510776
7634-HLQJR,0.9471479452736354
9081-WWXKP,0.9471479452736354
6340-DACFT,0.9471479452736354
1776-SPBWV,0.9471085149879174
1757-TCATG,0.9471000528378726
1306-RPWXZ,0.947090204863933
3662-FXJFO,0.9470551474263454
8039-EQPIM,0.947009993426915
7153-CHRBV,0.9469712348268144
3429-IFLEM,0.9469428139732355
9067-SQTNS,0.9469315163176333
5668-MEISB,0.9468541523965892
9938-PRCVK,0.9468131804374538
3508-VLHCZ,0.9467931227776027
2511-ALLCS,0.9466777629971553
6813-GZQCG,0.946675177263335
7969-FFOWG,0.946564460281597
0129-QMPDR,0.9465463608101216
6582-PLFUU,0.9464272522080618
3547-LQRIK,0.9463700090200026
2908-WGAXL,0.946332886221044
6950-TWMYB,0.9461761054169933
5322-TEUJK,0.9460903577933913
2535-PBCGC,0.9459734383800323
5622-UEJFI,0.9459228101336095
6223-DHJGV,0.9459159661632203
8838-GPHZP,0.9457887062749044
1945-XISKS,0.945655292184985
9135-MGVPY,0.9456364251969536
3612-YVGSJ,0.9455843294124245
5317-FLPJF,0.9455110002836271
8265-HKSOW,0.9454565468773758
1241-EZFMJ,0.945383826441018
4955-VCWBI,0.9453458108269143
9065-ZCPQX,0.9453105438733626
2868-LLSKM,0.945232959086341
0114-IGABW,0.9451155227494159
7771-CFQRQ,0.9450287677186996
4312-GVYNH,0.9450054513699468
1930-QPBVZ,0.9449860680009349
3569-VLDHH,0.9447628411922437
5519-TEEUH,0.9445399369179966
8316-BBQAY,0.9445287021846646
5149-QYTTU,0.9443776295363844
9110-HSGTV,0.94437249763547
0730-BGQGF,0.9443537023033478
8590-OHDIW,0.9442845105173169
1676-MQAOA,0.944158730588983
2075-PUEPR,0.9441547059602972
3873-WOSBC,0.944139169819833
2274-XUATA,0.9440817951734141
6000-UKLWI,0.9440579982813582
0229-LFJAF,0.9440529662145587
6122-LJADA,0.9439938053576261
4057-FKCZK,0.9439522721638279
0361-HJRDX,0.9439515176662411
1073-XXCZD,0.943804588397202
6522-OIQSX,0.9437255702145242
2650-GYRYL,0.9437031261275998
6408-WHTEF,0.9436775832871594
7103-ZGVNT,0.943588680596779
5970-GHJAW,0.9433517805099485
3768-VHXQO,0.94328559357152
6625-FLENO,0.9432668910411084
9258-CNWAC,0.9431664357076364
9385-EHGDO,0.9430532555803243
5803-NQJZO,0.9429389958790451
6898-RBTLU,0.9427986502744921
7131-ZQZNK,0.9426511344558012
5848-FHRFC,0.9426126083872449
8571-ZCMCX,0.9425354271148517
1098-KFQEC,0.9425183664666982
5498-IBWPI,0.9425104205788694
6188-UXBBR,0.9425034860032159
9975-GPKZU,0.9424272522080618
8402-OOOHJ,0.9423978742266512
9507-HSMMZ,0.9423072300854287
7030-FZTFM,0.9421831815787395
5126-RCXYW,0.9421681056917682
0238-WHBIQ,0.942141499473498
3027-YNWZU,0.9420142215196167
8766-PAFNE,0.9419881993900545
1022-RKXDR,0.9419695219701212
5846-NEQVZ,0.9419584980095791
2251-PYLPB,0.9419554226421151
9435-JMLSX,0.9418932951245094
9127-FHJBZ,0.9417885582087382
2848-YXSMW,0.9415392381890425
0404-AHASP,0.9413893782450649
1599-MMYRQ,0.9412528739357673
8242-PDSGJ,0.9412211627403391
5930-GBIWP,0.9410835727533033
2560-WBWXF,0.9409689375988528
0397-ZXWQF,0.9409499655635731
5177-RVZNU,0.9408041923174567
5583-EJXRD,0.9407255249845808
0485-ZBSLN,0.9406631802213482
8125-QPFJD,0.9406424648858995
